id;name;location;latitude;longitude;date_created;date_updated
1;Multi-channelled driver withdrawal;payment Electronics Innovative;26070;9932;2021-02-25T06:08:11;2021-02-25T19:02:15
2;Investment Account Fantastic vortals;Small Rubber Pants Gateway Strategist;6179;49791;2021-02-25T04:50:05;2021-02-24T20:40:54
3;Georgia;pink;76873;50539;2021-02-25T09:24:50;2021-02-25T08:40:52
4;JBOD maroon Engineer;Incredible Checking Account;40744;4379;2021-02-25T18:04:05;2021-02-24T21:40:46
5;Cambridgeshire Books program;Paradigm;54592;42466;2021-02-25T19:19:56;2021-02-25T09:27:27
6;deposit Generic Granite Table;orange sensor;56544;54462;2021-02-25T05:39:36;2021-02-25T17:09:48
7;invoice Automotive B2B;Wooden;40199;99614;2021-02-25T00:09:53;2021-02-25T15:20:48
8;cross-platform Polarised;Versatile static Accountability;35503;93132;2021-02-25T07:17:00;2021-02-25T07:46:13
9;Borders Metal;Computers Chief Handcrafted Granite Chair;44236;50784;2021-02-25T02:24:36;2021-02-25T00:35:27
10;Practical Pants;Innovative;90856;93851;2021-02-25T07:04:06;2021-02-25T00:16:17
