id;name;date_created;date_updated
1;New Taiwan Dollar connecting Fiji Dollar;2021-02-25T13:51:04;2021-02-25T10:51:38
2;Jamaica Iraqi Dinar;2021-02-24T20:26:09;2021-02-25T13:00:01
3;yellow;2021-02-25T10:17:33;2021-02-25T16:55:37
4;open-source;2021-02-25T14:09:07;2021-02-25T02:36:18
5;bottom-line;2021-02-24T21:52:35;2021-02-24T21:34:19
6;recontextualize synthesizing;2021-02-25T10:55:09;2021-02-24T22:56:35
7;Tasty;2021-02-25T18:06:52;2021-02-24T21:06:40
8;Ohio deposit Iraq;2021-02-25T04:51:25;2021-02-25T14:37:40
9;exuding Rubber Refined Frozen Shoes;2021-02-25T15:19:08;2021-02-25T09:49:51
10;Group Harbors access;2021-02-25T06:42:38;2021-02-25T14:32:27
