id;title;description;is_read;date_created;date_updated
1;Rustic bleeding-edge;green 1080p Metal;false;2021-02-24T23:29:49;2021-02-25T02:08:01
2;CSS Granite;transmitting next-generation viral;false;2021-02-24T20:37:08;2021-02-25T17:22:21
3;invoice Directives;invoice Credit Card Account;true;2021-02-25T10:27:45;2021-02-24T22:43:38
4;Sports calculate;partnerships Forges Specialist;true;2021-02-24T20:50:16;2021-02-25T16:04:18
5;stable asymmetric;Graphical User Interface;true;2021-02-25T04:37:24;2021-02-25T10:20:34
6;6th generation Corporate IB;Investment Account Health;true;2021-02-25T12:19:31;2021-02-25T02:44:55
7;deposit Borders;metrics client-server;false;2021-02-25T01:21:11;2021-02-25T06:11:16
8;Specialist Jewelery generate;auxiliary Ameliorated;true;2021-02-24T20:27:56;2021-02-25T16:32:52
9;Gloves;Gorgeous Metal Table navigate mobile;false;2021-02-25T05:12:59;2021-02-25T07:01:09
10;back up bluetooth;Pataca Checking Account;false;2021-02-25T07:05:59;2021-02-25T08:00:59
