id;name;date_created;date_updated
1;intangible;2021-02-25T13:55:24;2021-02-24T21:22:45
2;Steel;2021-02-25T06:34:19;2021-02-25T02:04:00
3;copy 1080p;2021-02-25T14:02:01;2021-02-25T18:31:50
4;multi-byte Customer;2021-02-25T01:24:47;2021-02-25T00:16:03
5;primary;2021-02-24T21:40:08;2021-02-25T13:04:44
6;viral Philippine Peso Small;2021-02-25T13:18:09;2021-02-25T10:39:12
7;Stravenue Plastic;2021-02-25T16:24:41;2021-02-25T00:26:02
8;wireless;2021-02-24T23:48:18;2021-02-25T06:53:15
9;Som Intelligent Plastic Soap;2021-02-24T20:28:58;2021-02-25T05:39:14
10;Gabon Borders;2021-02-25T09:15:24;2021-02-25T06:54:23
